node,Betweenness,Closeness,Strength,ExpectedInfluence
Country of residence,0,0.042527077180765135,15.203082419166856,15.203082419166856
Gender,0,NA,0,0
Age category,9,0.039827957921930196,23.119804078447796,23.119804078447796
Subjective social status,24,0.04940321430305175,34.919172803753774,34.919172803753774
Religion,5,0.04356671004347618,32.69961726693398,32.69961726693398
Highest education level,182,0.05996645592910956,54.02075701634765,54.02075701634765
Afraid of losing job,0,0.03143609498480084,14.399451197425904,14.399451197425904
Fear proper housing is difficult,1,0.031081421758116116,15.431553773564053,15.431553773564053
Living standards will decline,0,0.02898324237025791,14.023039806582817,14.023039806582817
Anxious about the future,0,0.034814619050092234,19.095396460966764,19.095396460966764
Important norms and values are no longer important,0,0.023648399757146648,11.741013694690727,11.741013694690727
Women should stay home and care for children,9,0.04216779486180897,28.644328438052135,28.644328438052135
Immigration threatens my values,0,0.03223043187924835,20.29639981138561,20.29639981138561
Multicultural influences harm national traditions,0,0.03414002098025591,15.251459645558027,15.251459645558027
Politicians should listen to people,17,0.04931051076888146,35.08257031076753,35.08257031076753
Politicians should spend time among ordinary people,0,0.035325494291455005,19.4098899923627,19.4098899923627
Will of the people is the highest political principle,0,0.04096621425785351,25.227452814575283,25.227452814575283
Government is run by big interests,0,0.04317756647626852,25.910424021740223,25.910424021740223
Government officials do not improve people lives,0,0.04345648176331516,20.87976544444917,20.87976544444917
Political views reveal if a person is good or bad,0,0.030262084869618126,20.85048295102239,20.85048295102239
Political opponents are misinformed,1,0.02931624624440093,16.972227326550467,16.972227326550467
Elites failed to protect cultural identity,24,0.04118964484126476,29.79328188228447,29.79328188228447
Natives should receive priority over immigrants,0,0.02998985034950499,15.795066115543507,15.795066115543507
Immigrants should give up their culture,0,0.02820312330912811,14.925670116466202,14.925670116466202
Public is not informed about important events,0,0.038885721013701816,23.79160257849581,23.79160257849581
Politicians conceal true motives,1,0.039960886380615915,27.508444918014213,27.508444918014213
Government agencies closely monitor citizens,40,0.0477301544302568,27.21794808345003,27.21794808345003
Events result from secret activities,0,0.030185860283053572,16.500859414598004,16.500859414598004
Secret organizations influence political decisions,0,0.03453346909884486,19.53300753831897,19.53300753831897
