from,to,weight,abs_weight,sign
Subjective social status,Highest education level,4.561985813880315,4.561985813880315,positive
Highest education level,Government officials do not improve people lives,3.9058886668021815,3.9058886668021815,positive
Country of residence,Highest education level,3.647207485281476,3.647207485281476,positive
Highest education level,Government agencies closely monitor citizens,3.3046850058841466,3.3046850058841466,positive
Subjective social status,Women should stay home and care for children,3.2578990898495834,3.2578990898495834,positive
Highest education level,Politicians should listen to people,3.251729142491062,3.251729142491062,positive
Highest education level,Government is run by big interests,3.1930743433576976,3.1930743433576976,positive
Politicians should listen to people,Elites failed to protect cultural identity,2.9593895443255036,2.9593895443255036,positive
Public is not informed about important events,Politicians conceal true motives,2.745675644502439,2.745675644502439,positive
Highest education level,Will of the people is the highest political principle,2.598017772697456,2.598017772697456,positive
Highest education level,Public is not informed about important events,2.4626727240732253,2.4626727240732253,positive
Age category,Religion,2.2148671395061665,2.2148671395061665,positive
Immigration threatens my values,Elites failed to protect cultural identity,2.214399577659344,2.214399577659344,positive
Highest education level,Politicians conceal true motives,2.143606365708676,2.143606365708676,positive
Women should stay home and care for children,Politicians should listen to people,2.123152351728544,2.123152351728544,positive
Women should stay home and care for children,Events result from secret activities,2.091901546428948,2.091901546428948,positive
Age category,Highest education level,2.0366863406403075,2.0366863406403075,positive
Age category,Fear proper housing is difficult,2.023578445441945,2.023578445441945,positive
Subjective social status,Politicians should listen to people,1.9992698843444907,1.9992698843444907,positive
Politicians should listen to people,Politicians should spend time among ordinary people,1.9923772510441489,1.9923772510441489,positive
Highest education level,Multicultural influences harm national traditions,1.9623714697944432,1.9623714697944432,positive
Religion,Highest education level,1.961578794867466,1.961578794867466,positive
Elites failed to protect cultural identity,Immigrants should give up their culture,1.9568139723620788,1.9568139723620788,positive
Highest education level,Anxious about the future,1.9135820456970685,1.9135820456970685,positive
Religion,Women should stay home and care for children,1.8498961504210651,1.8498961504210651,positive
Fear proper housing is difficult,Elites failed to protect cultural identity,1.8483706909422,1.8483706909422,positive
Religion,Government agencies closely monitor citizens,1.8206606056031633,1.8206606056031633,positive
Political views reveal if a person is good or bad,Political opponents are misinformed,1.8112000847899254,1.8112000847899254,positive
Highest education level,Secret organizations influence political decisions,1.802126237081434,1.802126237081434,positive
Highest education level,Women should stay home and care for children,1.785254319641896,1.785254319641896,positive
Politicians conceal true motives,Secret organizations influence political decisions,1.7767231913444221,1.7767231913444221,positive
Age category,Politicians conceal true motives,1.759858070118079,1.759858070118079,positive
Politicians should listen to people,Government agencies closely monitor citizens,1.7546920616595045,1.7546920616595045,positive
Religion,Politicians should listen to people,1.752098452459244,1.752098452459244,positive
Politicians should spend time among ordinary people,Elites failed to protect cultural identity,1.7013756903510098,1.7013756903510098,positive
Subjective social status,Politicians conceal true motives,1.6304039473474536,1.6304039473474536,positive
Afraid of losing job,Anxious about the future,1.6136490157512073,1.6136490157512073,positive
Highest education level,Afraid of losing job,1.6111323278216716,1.6111323278216716,positive
Women should stay home and care for children,Elites failed to protect cultural identity,1.6016695395866347,1.6016695395866347,positive
Elites failed to protect cultural identity,Government agencies closely monitor citizens,1.593481631976998,1.593481631976998,positive
Women should stay home and care for children,Secret organizations influence political decisions,1.591068851330514,1.591068851330514,positive
Government is run by big interests,Government agencies closely monitor citizens,1.5869396232586048,1.5869396232586048,positive
Anxious about the future,Will of the people is the highest political principle,1.57453841169973,1.57453841169973,positive
Age category,Subjective social status,1.5733864031956843,1.5733864031956843,positive
Government agencies closely monitor citizens,Events result from secret activities,1.556693067762855,1.556693067762855,positive
Country of residence,Politicians should spend time among ordinary people,1.5529159903428904,1.5529159903428904,positive
Age category,Living standards will decline,1.5501956251779214,1.5501956251779214,positive
Highest education level,Politicians should spend time among ordinary people,1.5149946561671865,1.5149946561671865,positive
Women should stay home and care for children,Government is run by big interests,1.5074764568957069,1.5074764568957069,positive
Political opponents are misinformed,Government agencies closely monitor citizens,1.4854976397227766,1.4854976397227766,positive
Highest education level,Elites failed to protect cultural identity,1.4834501942825122,1.4834501942825122,positive
Politicians should listen to people,Will of the people is the highest political principle,1.4411261670789883,1.4411261670789883,positive
Subjective social status,Religion,1.4372417419585934,1.4372417419585934,positive
Subjective social status,Government officials do not improve people lives,1.4326059244811489,1.4326059244811489,positive
Women should stay home and care for children,Will of the people is the highest political principle,1.423964583616069,1.423964583616069,positive
Religion,Political views reveal if a person is good or bad,1.4127688354841947,1.4127688354841947,positive
Religion,Elites failed to protect cultural identity,1.4100724206993753,1.4100724206993753,positive
Subjective social status,Political opponents are misinformed,1.403975500794139,1.403975500794139,positive
Highest education level,Living standards will decline,1.3331215392600502,1.3331215392600502,positive
