id,paper_element,Abadi_et_al_computation_or_claim,literal_replication_status,ChatGPT_treatment,execution_status,evidence,required_disclaimer
A01,Design,Two independent cross-sectional studies,Not applicable,One ChatGPT survey only,No comparable second study or wave,Not applicable,No Study 1–Study 2 conclusion or NCT can be made.
A02,Sample preparation,"Recoding, filters, exclusions, missing-data check",Adapted and completed,Prior-user filter Q13=1; ordinal audit; complete cases,Completed,data_audit/sample_flow.csv,"This is a dataset-specific preprocessing analogue, not Abadi’s participant selection."
A03,Distribution,Mardia multivariate normality,Completed,30 ChatGPT CAN nodes,Completed,data_audit/mardia_multivariate_normality.csv,The diagnostic does not establish suitability for causal inference.
A04,RQ1 joint network,Joint MGM with LASSO and EBIC,Adapted and completed,30-node ChatGPT perception CAN,Completed,networks/primary_mgm/network_summary.csv,No populism/nativism/threat/conspiracy construct is present.
A05,RQ1 network display,Weighted undirected qgraph network,Adapted and completed,Primary ChatGPT MGM network,Completed,networks/primary_mgm/edge_table.csv,"Edges are conditional associations, not directions or effects."
A06,RQ1 centrality,Strength centrality,Adapted and completed,Strength and expected influence for ChatGPT nodes,Completed,networks/primary_mgm/centrality.csv,Centrality is not evidence that intervening on a node changes the network.
A07,RQ1 predictability,Node predictability,Adapted and completed,MGM node predictability,Completed,networks/primary_mgm/predictability.csv,Predictability is descriptive in the cross-sectional graph.
A08,RQ1 communities,Walktrap and robust community analysis,Adapted,Walktrap/consensus workflow,Runtime deferred after >3-hour full configured run,No artifact produced,"Community labels are exploratory summaries, not confirmed latent factors."
A09,RQ1 accuracy/stability,Bootstrap edge accuracy and case-drop centrality stability,Adapted,Configured bootstrap diagnostic,Runtime deferred after >3-hour full configured run,No artifact produced,"If unavailable, no accuracy or stability conclusion is made."
A10,RQ1 categorical audit,Chi-square and Cramér’s V checks,Adapted,Configured contextual variables,Runtime deferred after >3-hour full configured run,No artifact produced,These checks audit categorical associations; they do not validate all network edges.
A11,Across-study comparison,"NCT, global strength, edge invariance, adjacency correlation",Not applicable,No second comparable ChatGPT study,Not applicable,No second study,A random split is only a diagnostic analogue and is not reported as an Abadi Study 1–Study 2 result.
A12,RQ2 scale validation,CFA of the PA scale,Adapted,CFA of Q24 ChatGPT satisfaction candidate scale,Completed,factor_models/satisfaction_q24_cfa_pooled.csv,This is not a PA scale; a poor fit blocks factor-score subgroup claims.
A13,RQ2 cross-country scale validation,Country CFA and measurement invariance,Adapted,Q24 satisfaction candidate scale,Completed,factor_models/satisfaction_q24_cfa_country.csv,This cannot establish cross-country equivalence for political attitudes.
A14,RQ2 exploratory factor analysis,Country-wise EFA after poor CFA fit,Adapted,Q24 satisfaction candidate scale,Completed,factor_models/satisfaction_q24_efa_country.csv,EFA is descriptive and does not rescue an unsupported substantive scale.
A15,RQ2 high/low PA,High-versus-low PA network comparison,Not applicable,No populist-attitude scale,Not applicable,No PA item set,No high/low PA computation is performed or implied.
A16,RQ2 country networks,"Country GGM, communities, and centrality",Adapted,Country-specific ChatGPT perception networks,Runtime deferred after >3-hour full configured run,No artifact produced,"Country groups are global student samples, not Abadi’s matched representative European country samples."
A17,RQ2 pairwise comparison,Country adjacency-matrix correlations,Adapted,ChatGPT country network correlations,Runtime deferred after >3-hour full configured run,No artifact produced,Comparisons are descriptive and conditional on completed country networks.
A18,RQ2 pairwise comparison,All country-pair NCTs with multiplicity adjustment,Adapted,ChatGPT country network NCTs,Runtime deferred after >3-hour full configured run,No artifact produced,Permutation count and sample adequacy must be inspected before any inferential use.
A19,RQ2 country clustering,"k-means, hierarchical, PAM, CLARA; gap/WSS",Adapted,Clustering of completed ChatGPT country networks,Runtime deferred after >3-hour full configured run,No artifact produced,Any clusters summarize this dataset only and do not reproduce Abadi’s political-country clusters.
A20,RQ2 pooled cluster networks,Pooled networks by country cluster,Adapted,Pooled ChatGPT country-cluster networks,Runtime deferred after >3-hour full configured run,No artifact produced,Sparse categories or few groups can prevent estimation; status must be inspected.
A21,RQ2 NetworkTree,Country partition consistency check,Conditional,NetworkTree with configured moderators,Runtime deferred after >3-hour full configured run,No artifact produced,No result is fabricated if the optional package or data requirements are unavailable.
A22,RQ3 nativism proxy,Nativism scale CFA/invariance and high/low networks,Not applicable,No nativism construct measured,Not applicable,No nativism item set,No ideological-proxy conclusion is possible.
A23,RQ3 political orientation,Left/centre/right coding and NetworkTree,Not applicable,No left-right political-spectrum variable,Not applicable,No political-orientation variable,No left-versus-right conclusion is possible.
A24,Separate analogue,High/low group network comparison,Adapted but not an Abadi RQ3 replication,Median split of Q15 ChatGPT use frequency,Runtime deferred after >3-hour full configured run,No artifact produced,Use-frequency results are kept separate from ideology or attitude-strength claims.
A25,RQ4 country differences,Separate country networks; communities and centrality,Adapted,Eligible ChatGPT-user country samples,Runtime deferred after >3-hour full configured run,No artifact produced,"No claim about Abadi’s countries, translations, or national politics is made."
A26,RQ4 country similarity,Country clustering and partition interpretation,Adapted,ChatGPT country-network similarity,Runtime deferred after >3-hour full configured run,No artifact produced,Conclusions are limited to observed sample-network similarity.
A27,Paper conclusion,"Populism, nativism, threat, conspiracy, and political-country interpretations",Not applicable,Not measured in ChatGPT survey,Not applicable,No corresponding attributes,The case study does not reproduce Abadi’s substantive political conclusions.
A28,Case-study conclusion,Interpret results within CAN theory,Completed with bounded interpretation,ChatGPT perceptions conditional-association network,Completed,No artifact produced,"No directed causal, intervention, temporal, or policy-effect conclusion is made from this cross-sectional study."
